"","RMS1_D2_Motor_Speed","RMS2_D2_Motor_Speed","RMS1_D3_Motor_Temperature","RMS2_D3_Motor_Temperature","RMS1_D2_Torque_Feedback","RMS2_D2_Torque_Feedback","Potentiometer_1","Potentiometer_2","Brake_1","RMS1_D3_Motor_Temperature.1","RMS2_D3_Motor_Temperature.1","RMS1_D1_Control_Board_Temperature","RMS2_D1_Control_Board_Temperature","ID","Motor1_Velocity","Motor2_Velocity","Motor1_Velocity_Smooth","Motor2_Velocity_Smooth","Motor1_Acceleration","Motor2_Acceleration","Velocity","Acceleration","Motor_Velocity_Difference"
"72",0,0,16.5895838806815,17.3044297594148,0.155703802535,-1.37027567807962,1818,1806,7953,16.5895838806815,17.3044297594148,13.2962913934054,13.1139928257465,72,0,0,1.28943548823899,-1.2478168048189,0.171055724946694,-0.167974180889869,1.26862614652894,0.169514952918282,0.041618683420088
"73",0,1,16.4933400615633,17.7057093547834,0.204499999999533,0.745732384976365,1816,1804,7937,16.4933400615633,17.7057093547834,13.4,13.1054731891444,73,0,0.0134832302729176,1.50230123520382,-1.46326982033051,0.174535328036896,-0.171091130584064,1.48278552776717,0.17281322931048,0.0390314148733102
"74",0,0,16.6335916581625,17.6316747842606,0.890438247011569,-0.299955752212973,1817,1805,7932,16.6335916581625,17.6316747842606,13.4834429658371,13.3531987995028,74,0,0,1.74137915499542,-1.70102299707424,0.176734433041577,-0.173117631198607,1.72120107603483,0.174926032120092,0.0403561579211853
"75",0,0,16.0461451430419,17.6,0.507341291978141,-0.0255160102643863,1815,1804,7924,16.0461451430419,17.6,13.4733084149914,13.2742587560234,75,0,0,1.97343546794105,-1.92736790096732,0.17937631856166,-0.175819218360643,1.95040168445418,0.177597768461152,0.0460675669737332
"76",0,0,16.4258598391464,17.7638877662369,0.228542847615809,0.0746859366315439,1817,1805,7942,16.4258598391464,17.7638877662369,13.6053308006305,13.0434957460138,76,0,0,2.16232357598134,-2.12049084890376,0.184486833951751,-0.180450616761239,2.14140721244255,0.182468725356495,0.0418327270775825
"77",0,0,16.1583927741519,17.6312487371186,-0.116881804916498,-0.458305274972106,1817,1805,7937,16.1583927741519,17.6312487371186,13.3060658718933,12.9220922243776,77,0,0,2.38538160597806,-2.3337447431239,0.187900402139988,-0.184125129035279,2.35956317455098,0.186012765587633,0.0516368628541626
"78",0,0,16.2719172681506,17.2563527925196,0.0287001428420579,0.30115448048368,1816,1805,7937,16.2719172681506,17.2563527925196,13.4,13.1633081308374,78,0,0,2.64111820687938,-2.57618292594527,0.189738023572504,-0.186443273639271,2.60865056641232,0.188090648605888,0.0649352809341135
"79",0,0,16.1,17.6334437086093,0.350710795201916,-1.1,1815,1805,7929,16.1,17.6334437086093,13.4,13.3336805976176,79,0,0,2.91305408510089,-2.84321544931577,0.190687360975903,-0.187454679724171,2.87813476720833,0.189071020350037,0.0698386357851244
"80",0,0,16.3,17.4467763244148,0.448754448398087,-1.34744330813756,1815,1804,7933,16.3,17.4467763244148,13.5546552906531,13.4527572713704,80,0,0,3.20794809417517,-3.13042767465086,0.190300499143498,-0.187292978886535,3.16918788441301,0.188796739015016,0.0775204195243124
"81",0,0,16.3365341494455,17.7,0,-1.31106047131952,1814,1803,7924,16.3365341494455,17.7,13.4,13.3133629614666,81,0,0,3.45602799305012,-3.37121088865174,0.192314755870329,-0.1895537948854,3.41361944085093,0.190934275377865,0.0848171043983852
"82",17,-13,16.4900480924669,17.8970630133665,-21.0098898653909,-14.3213976224816,1736,1728,7940,16.4900480924669,17.8970630133665,13.4022257696233,13.2095112045101,82,0.229214914639599,-0.175281993547928,3.6503819712085,-3.56552763685842,0.197306925993867,-0.194399452908223,3.60795480403346,0.195853189451045,0.0848543343500783
"83",123,-138,16.1162700776352,17.9215821673027,-23.2639754278186,-17.3956350076771,1731,1719,7941,16.1162700776352,17.9215821673027,13.4158053606582,13.1930431183306,83,1.65843732356886,-1.86068577766262,3.87540075858179,-3.77316968318897,0.200842901043697,-0.198776599602667,3.82428522088538,0.199809750323182,0.102231075392826
"84",210,-217,16.2634315389589,17.9,-9.97483689538785,-19.0789331532724,1749,1733,7926,16.2634315389589,17.9,13.4360982016569,13.1171021257679,84,2.83147835731269,-2.92586096922311,4.12229410666298,-4.02139765550254,0.203318468589765,-0.201119300634965,4.07184588108276,0.202218884612365,0.100896451160438
"85",271,-209,16.3,17.7644481290883,-8.5387909604533,-11.7704411764705,1763,1751,7926,16.3,17.7644481290883,13.2843513070904,13.5456530750488,85,3.65395540396066,-2.81799512703977,4.36818455018233,-4.26785061114854,0.20590558557319,-0.203572246831445,4.31801758066543,0.204738916202318,0.10033393903379
"86",280,-216,16.2457945246995,17.9743438466046,-6.23810415060984,-11.380807747331,1762,1752,7949,16.2457945246995,17.9743438466046,13.6,13.4121249469622,86,3.77530447641692,-2.91237773895019,4.62349654665326,-4.52043299641376,0.207997786956845,-0.205742026140701,4.57196477153351,0.206869906548773,0.103063550239495
"87",297,-202,16.5,17.7570224264259,-10.1225817211456,-9.4715984882168,1759,1747,7935,16.5,17.7570224264259,13.4516343507124,13.2897014472219,87,4.00451939105652,-2.72361251512935,4.88735597401997,-4.76760619213597,0.20959718385103,-0.208201394473249,4.82748108307797,0.208899289162139,0.119749781884003
"88",367,-334,16.6235204978482,17.7421199385759,-39.5328109369791,-40.0018456748951,1703,1694,7941,16.6235204978482,17.7421199385759,13.5,13.6305873795235,88,4.94834551016075,-4.50339891115447,5.14992212068816,-5.01710737504498,0.211240166442265,-0.21056161330503,5.08351474786657,0.210900889873647,0.132814745643187
